evid,latitude,longitude,depth,time,mag
182,35.9356,-117.7033,7.44,2000-12-13T18:02:01.150000,1.0
183,35.6950,-117.5024,5.45,2000-12-13T18:03:01.070000,1.0
184,35.9704,-117.6569,5.12,2000-12-13T18:04:01.080000,1.0
185,35.9308,-117.6738,5.44,2000-12-13T18:05:01.140000,1.0
186,35.8854,-117.6817,8.64,2000-12-13T18:06:01.100000,1.0
187,35.9465,-117.6916,5.35,2000-12-13T18:07:01.130000,1.0
188,35.9395,-117.6899,5.59,2000-12-13T18:08:01.120000,1.0
189,35.9163,-117.7307,8.38,2000-12-13T18:09:01.160000,1.0
190,35.7180,-117.5471,5.28,2000-12-13T18:10:01.060000,1.0
191,35.6043,-117.5759,3.51,2000-12-13T18:11:01.020000,1.0
192,35.8948,-117.6787,6.35,2000-12-13T18:12:01.200000,1.0
193,35.8778,-117.6866,8.02,2000-12-13T18:13:01.120000,1.0
194,35.9709,-117.6543,5.72,2000-12-13T18:14:01.110000,1.0
195,35.6830,-117.5113,6.40,2000-12-13T18:15:01.180000,1.0
196,35.6706,-117.4635,5.66,2000-12-13T18:16:01.110000,1.0
197,35.6319,-117.4733,4.77,2000-12-13T18:17:01.140000,1.0
198,35.6721,-117.5071,6.43,2000-12-13T18:18:01.190000,1.0
199,35.8890,-117.6740,8.44,2000-12-13T18:19:01.180000,1.0
200,36.0476,-117.8511,3.88,2000-12-13T18:20:01.080000,1.0
201,35.6589,-117.4837,2.54,2000-12-13T18:21:01.040000,1.0
202,35.6571,-117.4993,3.87,2000-12-13T18:22:01.060000,1.0
203,35.8946,-117.6730,5.71,2000-12-13T18:23:01.160000,1.0
204,35.7041,-117.4959,4.24,2000-12-13T18:24:01.000000,1.0
205,35.9073,-117.7227,6.15,2000-12-13T18:25:01.110000,1.0
206,35.8977,-117.6669,5.39,2000-12-13T18:26:01.140000,1.0
207,35.9782,-117.6550,4.49,2000-12-13T18:27:01.050000,1.0
208,35.7547,-117.5637,5.12,2000-12-13T18:28:01.040000,1.0
209,35.9247,-117.7076,5.32,2000-12-13T18:29:01.210000,1.0
