velest,NonLinLoc,hypoinverse,hypoDD,growclust
0.528,0.696906,0.023,0.418,1.183
1.603,0.419844,0.23,0.371,1.173
0.617,6.509438,0.394,0.249,2.852
0.007,0.761094,0.585,1.47,0.024
0.918,1.269594,0.481,0.934,0.102
1.044,0.939094,1.108,0.223,1.311
1.002,0.123281,0.525,1.594,1.399
1.075,0.317781,0.427,1.29,2.361
1.032,0.341312,0.726,0.448,0.588
1.016,1.815438,1.428,1.817,1.008
0.777,4.184594,1.526,0.352,1.39
0.734,0.234625,1.316,1.092,1.818
0.929,0.812844,0.608,0.849,0.134
0.48,0.964594,0.791,0.078,0.809
0.296,0.177469,0.922,1.237,1.025
1.405,0.705797,1.174,0.293,1.188
0.554,0.243594,0.105,0.411,1.13
0.059,0.160188,0.658,0.868,1.591
2.012,1.594859,1.049,0.175,1.496
0.861,3.583375,0.326,0.496,0.617
0.606,0.215719,0.694,1.572,2.371
1.669,0.615625,0.275,0.265,0.168
1.243,3.218156,2.138,0.072,0.051
0.394,0.499953,0.193,0.278,0.74
0.134,2.831156,0.901,1.543,2.124
0.42,2.125812,0.793,1.318,1.577
0.814,0.816219,0.727,1.535,2.039
1.225,2.565719,1.189,1.528,2.737
2.106,1.727281,1.479,1.294,1.353
0.289,8.653188,0.976,1.166,1.017
0.74,2.073781,2.243,0.129,1.552
1.229,0.689469,0.404,1.147,0.818
1.035,0.983812,0.061,0.1,0.749
1.239,1.276062,0.673,1.385,0.192
1.101,2.374594,1.536,0.969,0.168
0.626,0.328906,0.88,0.185,0.68
0.238,0.849594,0.781,1.285,0.083
0.661,4.308688,1.224,0.065,1.289
0.151,0.145969,0.042,0.435,0.064
0.846,0.742266,0.27,0.08,0.605
0.448,1.200594,1.132,0.136,0.346
1.176,2.453688,0.089,0.267,1.744
1.738,2.426938,0.114,0.368,0.617
0.857,0.068906,0.42,1.248,1.471
0.906,1.590609,1.171,0.232,1.172
0.455,1.644906,1.021,1.465,1.098
1.993,1.107625,1.263,0.398,0.254
