,idx1,idx2,hori,vert
1691,46,802,0.3823257363403422,0.7906362856967971
1692,46,819,1.7715317892783071,1.0318571161053878
1693,46,847,1.4474970376132668,0.14980166654826826
1694,46,905,1.6843891381080343,0.6117322188394173
1695,46,914,1.5386463261850967,0.20135021992415203
1696,46,948,1.360735096302162,0.2164706863552565
1697,46,989,0.30524430916459316,0.5418290922181768
1698,47,47,0.0,0.0
1699,47,70,1.8465665610297948,1.2225837143412754
1700,47,108,0.9781495972061119,1.749086808023947
1701,47,168,1.919549336607278,1.5010579451105386
1702,47,258,0.17404331061692987,1.8110258517313431
1703,47,315,0.22270678746638714,0.9135808991594949
1704,47,552,1.4204970342202943,0.0941082466341486
1705,47,604,1.7983084472278925,1.7052032102083359
1706,47,762,0.14089556973240386,1.9433143512664375
1707,47,897,1.209936020721749,1.6042524218322451
1708,47,944,1.401858033248694,0.6544276787579384
1709,47,974,0.3008213454596508,1.7939158707106817
1710,48,48,0.0,0.0
1711,48,58,0.8384051830711742,1.0190245432038465
1712,48,67,0.39551718718910894,1.4638917327968666
1713,48,72,1.8105743548692947,0.7471674005071945
1714,48,73,1.2219241174704432,0.7987188096557438
1715,48,106,1.478720450320362,0.49836814452261385
1716,48,110,0.8283943696632916,1.0169680908780319
1717,48,113,1.7051817944246115,1.079689667691655
1718,48,145,1.7505620569268694,0.8099270955548782
1719,48,153,0.448691867999348,0.4394203379741266
1720,48,164,1.1263042609083027,0.3522590503975516
1721,48,171,1.5283209508857534,0.3734608075784454
1722,48,176,1.9056956723018095,1.4300491524526588
1723,48,187,1.8135870086770383,0.8104312333249982
1724,48,208,0.8201872840021377,0.756597315444451
1725,48,209,1.3874508708157507,0.5714681691884144
1726,48,212,0.7053366206886801,0.24678025401772538
