evid,latitude,longitude,depth,time,mag
125,35.8989,-117.6763,5.64,2000-12-13T17:05:00.960000,1.0
126,35.6015,-117.4227,3.28,2000-12-13T17:06:01.090000,1.0
127,35.8909,-117.6758,9.80,2000-12-13T17:07:00.980000,1.0
128,35.9332,-117.6707,3.72,2000-12-13T17:08:01.030000,1.0
129,35.7238,-117.5209,5.87,2000-12-13T17:09:00.960000,1.0
130,35.5607,-117.3136,5.52,2000-12-13T17:10:01.070000,1.0
131,35.7154,-117.4979,3.39,2000-12-13T17:11:00.880000,1.0
132,35.8983,-117.7233,9.33,2000-12-13T17:12:00.940000,1.0
133,35.6284,-117.4103,3.83,2000-12-13T17:13:00.930000,1.0
134,36.0571,-117.8382,3.01,2000-12-13T17:14:01.020000,1.0
135,35.6245,-117.4383,5.77,2000-12-13T17:15:01.080000,1.0
136,35.5668,-117.5878,5.08,2000-12-13T17:16:01.080000,1.0
137,35.5974,-117.4033,6.76,2000-12-13T17:17:00.910000,1.0
138,35.8337,-117.6481,6.45,2000-12-13T17:18:01.170000,1.0
139,35.6241,-117.4193,6.33,2000-12-13T17:19:01.060000,1.0
140,35.8864,-117.6868,10.41,2000-12-13T17:20:00.950000,1.0
141,35.7215,-117.5480,5.36,2000-12-13T17:21:00.990000,1.0
142,35.6536,-117.4644,2.12,2000-12-13T17:22:00.960000,1.0
143,35.7040,-117.5871,8.12,2000-12-13T17:23:01.050000,1.0
144,35.9120,-117.7044,8.30,2000-12-13T17:24:00.980000,1.0
145,35.7136,-117.5672,7.19,2000-12-13T17:25:01.070000,1.0
146,35.9268,-117.7231,5.16,2000-12-13T17:26:00.990000,1.0
147,35.6108,-117.4621,4.31,2000-12-13T17:27:01.030000,1.0
148,35.9010,-117.7005,7.67,2000-12-13T17:28:00.960000,1.0
149,35.6728,-117.4845,3.48,2000-12-13T17:29:00.950000,1.0
150,35.9073,-117.6766,5.10,2000-12-13T17:30:01.000000,1.0
151,35.9031,-117.6660,4.70,2000-12-13T17:31:00.890000,1.0
152,35.9477,-117.6925,4.61,2000-12-13T17:32:00.900000,1.0
153,35.8993,-117.6760,6.71,2000-12-13T17:33:00.950000,1.0
154,35.9328,-117.7050,4.77,2000-12-13T17:34:00.970000,1.0
155,35.9302,-117.7217,6.51,2000-12-13T17:35:00.980000,1.0
156,35.5775,-117.6219,3.15,2000-12-13T17:36:00.890000,1.0
157,35.6017,-117.4210,5.20,2000-12-13T17:37:01.140000,1.0
158,35.6365,-117.4237,3.41,2000-12-13T17:38:01.080000,1.0
159,35.8826,-117.7113,4.53,2000-12-13T17:39:01.060000,1.0
160,35.7500,-117.5164,3.68,2000-12-13T17:40:00.840000,1.0
161,35.6833,-117.5300,9.34,2000-12-13T17:41:01.070000,1.0
162,35.6737,-117.4847,3.16,2000-12-13T17:42:00.940000,1.0
163,35.9692,-117.7112,4.52,2000-12-13T17:43:00.920000,1.0
164,35.9092,-117.7427,7.85,2000-12-13T17:44:00.970000,1.0
165,35.9279,-117.7042,4.37,2000-12-13T17:45:01.160000,1.0
166,35.7584,-117.5541,7.76,2000-12-13T17:46:01.030000,1.0
167,36.0607,-117.8392,3.32,2000-12-13T17:47:01.030000,1.0
168,36.0668,-117.8448,10.61,2000-12-13T17:48:01.280000,1.0
169,35.7251,-117.5249,4.91,2000-12-13T17:49:01.000000,1.0
170,35.5752,-117.6171,3.80,2000-12-13T17:50:00.950000,1.0
171,35.6788,-117.4763,1.10,2000-12-13T17:51:00.960000,1.0
172,35.9161,-117.7047,4.88,2000-12-13T17:52:01.000000,1.0
173,35.6755,-117.4810,0.15,2000-12-13T17:53:01.000000,1.0
174,35.6702,-117.5191,7.54,2000-12-13T17:54:01.160000,1.0
175,35.7322,-117.5287,5.69,2000-12-13T17:55:00.980000,1.0
176,35.7575,-117.5705,5.91,2000-12-13T17:56:00.990000,1.0
177,35.9221,-117.6889,5.60,2000-12-13T17:57:00.950000,1.0
178,35.6631,-117.4862,3.61,2000-12-13T17:58:01.040000,1.0
179,35.9662,-117.6943,4.84,2000-12-13T17:59:00.960000,1.0
180,35.5932,-117.4203,5.63,2000-12-13T18:00:01.080000,1.0
181,35.9127,-117.7416,6.76,2000-12-13T18:01:01.050000,1.0
182,35.9380,-117.7114,6.51,2000-12-13T18:02:00.970000,1.0
