lonR,latR,depR
-117.55766,35.74371,5.346
-117.57814,35.60161,4.648
-117.48951,35.68543,1.2
-117.61759,35.57905,5.397
-117.59309,35.60181,4.25
-117.59032,35.59584,4.684
-117.48641,35.68398,1.426
-117.58039,35.60683,4.647
-117.59306,35.59352,4.789
-117.59949,35.57003,6.335
-117.55806,35.74381,4.391
-117.59706,35.60155,4.931
-117.52211,35.71825,7.102
-117.48052,35.68424,1.074
-117.59834,35.57094,6.456
-117.62006,35.57587,6.215
-117.57087,35.76698,5.455
-117.59321,35.59574,5.614
-117.60804,35.58573,7.357
-117.59398,35.60322,5.683
-117.59821,35.60099,4.987
-117.51256,35.70723,9.468
-117.59243,35.60358,5.088
-117.60325,35.56766,5.586
-117.59943,35.57026,5.934
-117.59287,35.60317,4.507
-117.59934,35.56976,6.45
-117.48334,35.68418,6.438
-117.51541,35.72181,5.694
-117.46844,35.67496,6.929
-117.51104,35.71073,6.948
-117.57811,35.60616,5.002
-117.6135,35.58761,7.214
-117.55306,35.74033,4.285
-117.50605,35.69234,8.107
-117.51986,35.67288,7.655
-117.61325,35.58799,7.232
-117.49014,35.6818,2.809
-117.5389,35.71783,5.561
-117.59653,35.61523,7.651
-117.53811,35.74303,6.716
-117.5952,35.61613,7.731
-117.58441,35.59981,4.293
-117.50238,35.69889,6.575
-117.58403,35.59955,4.322
-117.50368,35.69484,6.404
-117.6245,35.57318,6.084
-117.62296,35.57469,5.99
-117.623,35.574,5.965
-117.59625,35.60455,5.082
-117.62437,35.57343,6.125
-117.56002,35.75019,4.4
-117.49858,35.67985,5.344
-117.54238,35.74169,5.944
-117.6228,35.57762,5.768
-117.59345,35.62408,7.153
-117.52885,35.65962,8.935
-117.52849,35.65988,8.933
-117.50314,35.67894,1.51
-117.49576,35.67729,6.025
-117.59612,35.60445,4.204
-117.59249,35.60209,4.662
-117.59511,35.59983,4.312
-117.55496,35.74306,4.565
-117.61564,35.57948,6.182
-117.59645,35.60558,5.054
-117.47543,35.66403,7.242
-117.58829,35.59704,4.653
-117.48832,35.69266,6.363
-117.61535,35.57948,6.2
-117.48057,35.68204,6.086
-117.5447,35.74216,7.138
-117.52941,35.72253,5.897
-117.59917,35.57073,6.372
-117.5438,35.73273,5.256
-117.59109,35.60779,4.818
-117.58274,35.61075,6.074
-117.59681,35.60166,4.779
-117.59375,35.60326,4.611
-117.58453,35.5937,4.485
-117.60878,35.58474,7.398
-117.49355,35.69126,6.299
-117.47078,35.67428,6.733
-117.59109,35.59726,3.977
-117.47608,35.68372,7.944
-117.55854,35.74691,4.542
-117.54787,35.73488,6.894
-117.62396,35.57363,5.984
-117.59101,35.603,4.877
-117.49876,35.67722,5.571
-117.57078,35.76724,5.455
-117.58204,35.59994,4.263
-117.55979,35.74427,6.339
-117.50581,35.69118,8.005
-117.49761,35.68094,3.954
-117.51437,35.72257,5.661
-117.51503,35.69186,6.547
-117.48111,35.69195,5.984
-117.52005,35.70362,6.652
-117.50673,35.69009,6.148
-117.50657,35.69934,6.51
-117.50281,35.66502,6.298
-117.62473,35.57281,6.029
-117.50634,35.691,6.15
-117.5037,35.6956,6.616
-117.59293,35.61693,7.19
-117.61686,35.58011,6.007
-117.53195,35.73556,6.46
-117.49646,35.68008,1.484
-117.58514,35.59835,4.394
-117.58588,35.61029,6.284
-117.62524,35.57347,6.114
